Monitoring-Site	Remote-Site	?	Aug2013	Jul2013	Jun2013	May2013	Apr2013	Mar2013	Feb2013	Jan2013	Dec2012	Nov2012	Oct2012	Sep2012	Aug2012	Jul2012	Jun2012	May2012	Apr2012	Mar2012	Feb2012	Jan2012	Dec2011	Nov2011	Oct2011	Sep2011	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region
PK.PERNSINDHUPOP.EDU.N2	PK.CAE.SEECS.EDU	?M	45.221	46.258	48.191	45.229	45.151	44.34	40.808	91.025	83.286	44.767	46.582	47.012	49.472	41.674	45.762	44.093	43.795	49.04	43.447	54.643	88.784	134.162	76.402	64.562	pingerjms.pern.edu.pk	PK	South_Asia	cae.seecs.edu.pk	PK	South_Asia
PK.KINNAIRD.SEECS.EDU	RU.NSK.N1	?M	0	0	268.985	278.667	327.466	272.318	272.591	272.939	273.385	249.626	248.497	252.739	275.167	268.222	254.304	256.522	267.612	274.86	273.059	262.347	0	0	0	267.358	kinnaird.seecs.edu.pk	PK	South_Asia	rainbow.inp.nsk.su	SU	Russia
PK.UETTAXILA.EDU.N1	NA.ADSL-ISP.COM.N1	?B	367.562	381.664	398.55	395.775	0	429.588	420.526	416.224	410.627	410.347	366.737	348.56	335.15	347.56	341.679	396.024	406.268	387.975	393.12	380.812	422.093	418.637	442.079	459.377	pinger.uettaxila.edu.pk	PK	South_Asia	www.adsl.com.na	NA	Africa
PK.PINGERKHI-UOK.PERN.EDU	DZ.UNIV-SBA	?B	151.214	150.382	152.854	180.789	201.214	220.355	212.288	176.216	188.922	186.843	196.998	188.824	176.669	211.071	199.93	184.833	199.055	213.54	205.151	165.324	184.433	209.404	190.848	220.961	pingerkhi-uok.pern.edu.pk	PK	South_Asia	www.univ-sba.dz	DZ	Africa
BR.UNESP.N1	CH.CERN.N1	?B	266.965	281.126	272.946	279.882	266.101	261.557	251.998	250.701	258.02	249.135	251.127	252.934	264.532	260.858	246.321	273.949	301.677	252.492	270.328	262.091	0	251.486	262.1	258.406	pinger.unesp.br	BR	Latin_America	ping.cern.ch	CH	Europe
PK.PERNLHRPOP.EDU.N1	PK.UPESH.EDU.N2	?M	9.697	12.395	12.61	12.987	22.641	10.034	13.413	71.353	131.941	104.591	83.538	118.152	46.085	45.718	55.93	150.876	158.08	164.213	59.205	47.959	48.368	47.443	49.138	47.627	pingerlhr.pern.edu.pk	PK	South_Asia	www.upesh.edu.pk	PK	South_Asia
PK.PINGERLHR-GCU.PERN.EDU	TN.GNET.N1	?B	147.224	150.528	187.508	146.482	177.843	167.994	145.215	147.669	171.821	181.345	181.703	174.342	151.355	150.61	150.679	145.601	139.553	145.035	158.527	151.665	150.853	149.627	147.625	0	pingerlhr-gcu.pern.edu.pk	PK	South_Asia	mail.gnet.tn	TN	Africa
EDU.SLAC.STANFORD.N3	CN.IHEP.AC.N3	?r	177.529	180.262	179.561	179.521	183.599	181.313	181.761	206.447	205.984	205.499	191.884	179.668	184.065	203.209	219.462	196.749	199.987	207.12	239.502	199.336	198.571	198.613	245.99	205.619	pinger.slac.stanford.edu	EDU	North_America	www.ihep.ac.cn	CN	East_Asia
GOV.FNAL.N10	EDU.OU.N1	?r	20.929	21.527	21.947	21.527	22.102	28.246	21.714	21.532	22.661	21.318	21.404	20.912	21.179	20.443	21.325	20.882	20.92	20.437	20.623	20.166	20.51	20.188	20.663	20.411	hepnrc.hep.net	NET	North_America	ouhep1.nhn.ou.edu	EDU	North_America
BR.ORG.SPRACE.N2	LV.WEB-A-LVDATS.N1	?B	266.589	262.551	260.001	259.441	260.75	263.86	256.12	254.583	254.57	254.678	260.2	264.355	266.007	269.034	266.754	263.407	293.908	263.161	264.761	270.186	268.629	268.644	273.938	270.159	pinger.sprace.org.br	BR	Latin_America	web-a.lvdats.lv	LV	Europe
PK.CEMB.EDU.N2	CA.CARLETON.N1	?B	246.356	247.542	248.638	247.852	279.917	379.621	329.506	303.856	254.947	252.1	243.103	245.518	243.613	258.856	241.656	240.25	244.085	247.585	251.935	247.23	252.154	257.481	248.56	246.087	pinger.cemb.edu.pk	PK	South_Asia	ftp.physics.carleton.ca	CA	North_America
PK.PINGERQTA.PERN.EDU.N2	PK.PINGERLHR-GCU.PERN.EDU	?M	35.236	27.711	79.137	35.268	36.203	37.927	37.738	80.229	122.731	142.081	139.873	113.599	0	37.879	40.348	152.996	146.82	150.1	42.975	36.511	34.994	35.291	38.346	0	pingerqta.pern.edu.pk	PK	South_Asia	pingerlhr-gcu.pern.edu.pk	PK	South_Asia
EDU.STANFORD.N9	MR.AFE.N1	?B	329.606	406.331	374.228	338.408	392.091	312.252	418.558	406.415	413.89	445.256	351.18	329.856	381.391	431.84	475.92	518.323	553.503	499.131	411.108	533.707	506.681	437.413	361.799	372.925	pinger.stanford.edu	EDU	North_America	www.afe.mr	MR	Africa
PK.NCA.EDU.N2	AR.INNOVA-RED.NET.N1	?B	0	0	0	0	466.062	413.523	405.65	404.678	410.383	381.809	387.949	388.142	373.434	387.661	375.047	407.923	421.167	388.165	382.567	387.03	390.42	399.742	378.563	373.806	pinger.nca.edu.pk	PK	South_Asia	www.innova-red.net	NET	Latin_America
IT.ICTP.N1	IL.WEIZMANN.AC.N1	?B	0	0	0	88.126	87.607	89.929	90.931	89.741	100.732	98.842	100.895	98.221	109.969	98.766	91.792	100.317	99.719	109.602	77.862	87.265	100.686	88.396	96.596	96.396	pinger.ictp.it	IT	Europe	www.weizmann.ac.il	IL	Middle_East
PK.PINGERQTA.PERN.EDU.N2	PK.SEECS.EDU.N6	?M	196.786	176.558	190.123	188.19	213.182	180.533	164.672	158.143	158.688	157.824	160.773	124.588	0	155.005	147.951	159.182	156.652	161.393	68.784	48.798	49.379	0	0	0	pingerqta.pern.edu.pk	PK	South_Asia	maggie1.seecs.edu.pk	PK	South_Asia
GOV.DOE.N8	AM.SCI.N1	?B	0	218.151	214.647	254.247	243.518	189.207	161.01	171.364	163.91	169.552	180.235	177.98	169.549	169.157	175.231	164.086	165.425	164.03	158.99	162.801	164.494	165.502	174.906	168.946	pinger.ascr.doe.gov	GOV	North_America	www.sci.am	AM	Central_Asia
PK.SEECS.EDU.N6	CH.EPFL.N1	?B	205.729	202.383	193.949	192.454	216.474	186.683	185.446	187.2	174.621	190.93	173.547	165.774	167.414	173.267	161.151	163.725	163.658	172.797	215.2	199.527	164.451	0	0	0	maggie1.seecs.edu.pk	PK	South_Asia	eltca1.epfl.ch	CH	Europe
PK.NUISB.SEECS.EDU	PK.PINGERKHI-CPSP.PERN.EDU	?M	24.974	24.408	36.207	24.461	23.875	23.887	24.014	24.653	24.334	25.34	25.361	24.835	29.796	28.14	26.116	26.062	25.453	26.283	25.277	27.617	25.037	25.208	25.58	24.816	nuisb.seecs.edu.pk	PK	South_Asia	pingerkhi-cpsp.pern.edu.pk	PK	South_Asia
PK.NUML.EDU	PK.UET.EDU.N2	?M	0	6.61	15.99	8.631	7.296	6.991	11.759	20.983	45.511	45.287	46.586	46.913	47.478	46.836	48.42	35.482	33.553	33.366	34.86	32.912	33.11	33.654	32.81	33.575	pinger.numl.edu.pk	PK	South_Asia	pinger.uet.edu.pk	PK	South_Asia
PK.SEECS.EDU.N7	MR.AFE.N1	?B	340.408	417.742	411.676	360.135	378.323	352.333	443.469	409.591	414.13	433.328	321.343	304.899	361.563	449.591	418.216	527.578	649.327	508.565	402.081	501.606	447.667	0	0	0	maggie2.seecs.edu.pk	PK	South_Asia	www.afe.mr	MR	Africa
PK.NUKHIMAIN.SEECS.EDU	GA.TRESOR.N1	?B	0	289.133	293.45	287.771	375.085	393.556	310.243	382.143	455.831	446.343	445.652	443.443	356.642	405.752	434.842	419.388	398.159	392.128	0	576.879	908.308	2098.896	390.71	478.651	nukhimain.seecs.edu.pk	PK	South_Asia	www.tresor.ga	GA	Africa
PK.NWFPUET.EDU.N1	SN.COLLEGE.EDU.N1	?B	220.305	226.036	218.981	215.18	232.933	254.215	220.375	226.715	222.889	212.908	216.285	219.705	218.836	229.56	215.067	215.322	262.304	256.801	255.086	229.079	222.071	227.864	353.453	243.851	pinger.nwfpuet.edu.pk	PK	South_Asia	www.college.edu.sn	SN	Africa
PK.PERNKHIPOP.EDU.N2	JO.SESAME.ORG.N1	?M	275.702	281.089	272.708	251.763	214.012	276.446	172.074	256.031	341.045	221.054	151.997	247.895	275.557	378.14	403.403	404.151	0	390.565	395.201	272.54	266.861	274.646	334.287	275.471	pingerkhi.pern.edu.pk	PK	South_Asia	pinger.sesame.org.jo	JO	Middle_East
PK.AIOU.EDU.N2	PK.AUP.SEECS.EDU	?M	0	4.144	4.014	3.939	4.196	4.046	4.232	3.942	4.187	4.006	50.13	55.78	52.595	50.721	51.755	51.848	53.725	53.98	51.176	52.84	50.945	53.945	54.148	53.935	pinger.aiou.edu.pk	PK	South_Asia	aup.seecs.edu.pk	PK	South_Asia
PK.NUML.EDU	PK.NU.EDU.N2	?M	0	6.394	20.841	8.626	6.513	7.124	12.965	19.712	46.195	48.126	49.943	46.705	48.234	48.229	47.362	35.094	33.546	32.905	33.957	31.872	33.751	33.058	32.823	33.578	pinger.numl.edu.pk	PK	South_Asia	pinger.lhr.nu.edu.pk	PK	South_Asia
EDU.SLAC.STANFORD.N3	EE.UT.N1	?B	181.388	182.237	187.064	187.539	187.665	190.175	189.563	188.877	190.811	193.396	207.261	205.411	201.232	201.312	199.338	205.072	204.969	203.761	205.032	190.514	191.525	208.218	197.657	190.384	pinger.slac.stanford.edu	EDU	North_America	kadri.ut.ee	EE	East_Europe
PK.NU.EDU.N2	NP.NREN.NET.N2	?B	373.79	411.662	416.495	381.741	306.548	421.594	494.903	362.314	391.617	413.677	467.228	459.058	424.244	404.581	339.647	399.506	346.395	260.784	262.449	260.292	251.874	270.791	266.315	365.844	pinger.lhr.nu.edu.pk	PK	South_Asia	www.nren.net.np	NP	South_Asia
PK.LCWU.EDU.N2	ET.STMARYCOLLEGE.N3	?B	2182.754	0	1506.232	878.904	1164.427	980.265	980.556	760.209	913.782	980.311	815.098	782.63	714.915	758.388	996.946	1040.704	951.817	626.303	452.845	460.297	0	0	0	0	pinger.lcwu.edu.pk	PK	South_Asia	www.stmaryuniversitycollege.edu.et	ET	Africa
PK.PINGER.IBA-SUK.EDU	PK.PINGERLHR-GCU.PERN.EDU	?M	0	36.182	129.829	36.486	36.12	35.89	36.003	37.352	46.456	69.542	61.643	62.451	61.831	58.419	67.172	72.896	85.782	74.78	79.144	77.674	0	0	0	0	pinger.iba-suk.edu.pk	PK	South_Asia	pingerlhr-gcu.pern.edu.pk	PK	South_Asia
PK.SEECS.EDU.N7	MZ.UEM.N1	?B	406.745	517.167	383.96	375.016	372.05	434.369	391.143	381.34	407.873	435.613	399.698	419.963	541.838	536.662	586.161	636.234	558.037	409.407	462.948	417.657	398.721	0	0	0	maggie2.seecs.edu.pk	PK	South_Asia	www.uem.mz	MZ	Africa
PK.PINGER.IBA-SUK.EDU	RU.ITEP.N1	?B	0	201.213	204.923	211.946	264.102	239.624	212.465	210.644	224.192	247.057	230.751	223.651	222.544	225.583	229.874	239.292	260.301	244.47	252.712	242.622	259.406	245.97	225.527	238.72	pinger.iba-suk.edu.pk	PK	South_Asia	mctest.itep.ru	RU	Russia
RU.NSK.N1	EDU.CORNELL.N2	?r	190.461	200.802	196.012	188.683	187.7	195.343	196.654	188.034	196.229	190.933	191.867	193.525	0	209.896	210.909	209.776	220.255	205.231	198.351	199.931	200.972	198.033	214.639	214.978	rainbow.inp.nsk.su	SU	Russia	lns62.lns.cornell.edu	EDU	North_America
PK.SEECS.EDU.N6	PK.UET.EDU.N2	?M	12.818	14.018	15.577	15.332	15.058	17.03	30.903	34.345	23.393	17.887	19.433	37.391	32.119	37.49	46.506	48.717	44.464	46.144	40.113	30.569	33.563	0	0	0	maggie1.seecs.edu.pk	PK	South_Asia	pinger.uet.edu.pk	PK	South_Asia
PK.UOB.EDU.N3	PK.KOHAT.EDU.N2	?M	46.005	37.501	29.065	33.722	32.174	45.416	46.503	46.72	47.915	47.088	46.301	45.795	0	44.247	40.553	41.344	40.674	0	42.868	61.744	73.858	97.529	101.164	0	pinger.uob.edu.pk	PK	South_Asia	pinger.kohat.edu.pk	PK	South_Asia
PK.LCWU.EDU.N2	SG.SINGAREN.NET.N1	?B	297.338	0	328.175	294.921	278.844	437.138	457.12	402.305	313.735	319.656	299.017	298.89	288.856	299.522	317.164	314.897	329.053	312.297	384.648	413.785	392.297	450.927	381.907	412.122	pinger.lcwu.edu.pk	PK	South_Asia	www.singaren.net.sg	SG	S.E._Asia
EDU.SLAC.STANFORD.N3	GH.CSIR.ORG.N1	?B	250.028	249.489	249.152	248.257	246.372	249.592	249.328	245.042	263.097	248.717	256.192	255.553	249.261	250.171	245.626	245.912	244.572	244.347	247.731	248.79	248.342	248.404	262.433	258.505	pinger.slac.stanford.edu	EDU	North_America	www.csir.org.gh	GH	Africa
IN.CDACMUMBAI.N1	HU.KFKI.N1	?B	161.38	166.945	174.907	166.077	396.191	196.846	157.19	168.719	158.798	162.208	168.17	169.912	172.76	170.313	165.222	167.846	168.258	169.402	165.99	166.644	164.604	164.925	169.588	178.366	pinger.cdacmumbai.in	IN	South_Asia	ping.rmki.kfki.hu	HU	Europe
IN.PUNE.CDAC.N2	CH.EPFL.N1	?B	144.979	153.576	146.78	0	0	162.952	175.692	217.151	244.402	179.226	300.372	181.77	179.282	194.627	305.26	312.377	314.088	295.755	301.434	302.368	300.98	297.254	294.181	288.943	pinger.cdac.in	IN	South_Asia	eltca1.epfl.ch	CH	Europe
PK.UETTAXILA.EDU.N1	TW.SINICA.EDU.N1	?B	253.963	293.348	256.607	246.219	0	442.028	437.79	432.526	432.916	449.568	439.552	439.331	433.571	440.082	433.272	433.04	433.244	353.56	390.731	435.192	441.468	474.846	458.99	461.487	pinger.uettaxila.edu.pk	PK	South_Asia	dns.sinica.edu.tw	TW	East_Asia
PK.AIOU.EDU.N2	CA.TRIUMF.N1	?M	0	318.958	361.423	331.043	335.084	315.876	301.687	297.874	308.63	310.191	313.292	313.913	309.654	315.437	311.642	328.433	328.733	332.456	339.1	333.602	334.113	327.363	315.548	325.505	pinger.aiou.edu.pk	PK	South_Asia	sitka.triumf.ca	CA	North_America
PK.PINGERISL-FJWU.PERN.EDU	LV.WEB-A-LVDATS.N1	?B	0	0	0	0	0	208.725	199.834	203.39	200.41	194.519	0	200.879	190.422	195.481	201.849	215.145	269.06	203.546	340.797	278.366	187.709	189.763	190.659	194.153	pingerisl-fjwu.pern.edu.pk	PK	South_Asia	web-a.lvdats.lv	LV	Europe
BR.UNESP.N1	IL.WEIZMANN.AC.N1	?B	0	0	0	302.473	301.185	303.917	302.68	301.367	314.014	317.251	321.844	318.666	326.918	327.005	315.599	0	344.796	355.821	314.898	326.998	0	329.931	338.812	351.448	pinger.unesp.br	BR	Latin_America	www.weizmann.ac.il	IL	Middle_East
EDU.SLAC.STANFORD.N3	CM.CAMTEL.N1	?r	264.545	262.33	263.306	316.001	320.785	262.533	266.485	292.51	301.678	278.488	280.377	271.224	273.691	271.608	311.587	270.796	328.66	357.435	367.096	339.41	285.71	273.651	271.7	292.134	pinger.slac.stanford.edu	EDU	North_America	195.24.192.47	CM	Africa
PK.PINGERQTA.PERN.EDU.N2	GA.TRESOR.N1	?B	317.64	313.419	306.5	303.069	388.977	392.166	357.891	411.932	464.422	435.206	455.435	431.187	0	366.539	353.907	386.577	383.622	352.688	382.876	367.325	600.644	672.768	394.695	491.954	pingerqta.pern.edu.pk	PK	South_Asia	www.tresor.ga	GA	Africa
EDU.STANFORD.N9	ZA.TENET.AC.N1	?M	424.374	409.403	405.475	401.995	404.534	404.287	405.571	413.611	405.538	405.996	550.446	452.308	468.38	463.468	444.26	448.985	442.212	469.694	452.149	472.953	464.35	476.704	456.172	486.074	pinger.stanford.edu	EDU	North_America	brunsvigia.tenet.ac.za	ZA	Africa
EDU.SLAC.STANFORD.N3	DO.NELLY.COM.N1	?r	133.726	141.563	131.09	126.315	126.239	125.6	123.844	123.053	122.86	122.873	135.902	136.869	137.788	136.336	134.987	134.613	184.15	135.142	138.953	138.228	138.258	140.186	138.023	148.716	pinger.slac.stanford.edu	EDU	North_America	www.nelly.com.do	DO	Latin_America
PK.PINGERQTA.PERN.EDU.N2	PK.LCWU.EDU.N2	?M	35.156	24.489	37.737	39.08	37.795	39.217	37.45	76.9	122.131	142.716	138.41	111.056	0	38.377	40.231	150.922	148.939	153.576	40.91	37.673	38.135	39.072	44.713	37.569	pingerqta.pern.edu.pk	PK	South_Asia	pinger.lcwu.edu.pk	PK	South_Asia
PK.VU.EDU	IL.WEIZMANN.AC.N1	?B	0	0	0	242.814	249.358	284.165	241.059	235.069	246.229	240.804	245.513	241.168	240.575	227.937	219.89	255.221	222.058	239.96	204.612	205.95	235.826	208.905	215.162	244.698	pinger.vu.edu.pk	PK	South_Asia	www.weizmann.ac.il	IL	Middle_East
PK.QUEST.SEECS.EDU	PK.NUKHIMAIN.SEECS.EDU	?M	0	5.86	8.84	5.758	6.651	5.832	38.334	23.159	33.049	23.281	32.792	0	0	24.189	28.302	42.611	78.483	64.712	54.563	66.498	40.166	41.02	65.511	28.968	quest.seecs.edu.pk	PK	South_Asia	nukhimain.seecs.edu.pk	PK	South_Asia
PK.NCA.EDU.N2	PK.PINGERKHI-UOK.PERN.EDU	?M	22.581	29.337	128.069	23.282	22.709	22.061	22.077	22.926	22.735	21.992	22.12	28.382	23.155	22.334	21.855	21.941	22.041	21.979	21.829	23.47	22.479	21.859	21.588	21.666	pinger.nca.edu.pk	PK	South_Asia	pingerkhi-uok.pern.edu.pk	PK	South_Asia
IT.ICTP.N1	EE.UT.N1	?B	57.816	59.069	55.398	53.171	54.441	56.729	55.994	55.48	55.508	58.092	58.965	56.761	53.355	53.779	55.266	57.195	56.68	56.345	55.895	54.956	57.395	57.963	57.822	56.753	pinger.ictp.it	IT	Europe	kadri.ut.ee	EE	East_Europe
PK.USINDH.EDU.N2	AU.AARNET.CANBERRA.NET	?B	456.22	451.416	459.024	455.2	452.59	453.138	447.662	461.152	481.224	448.861	457.714	454.407	440.498	450.812	439.896	463.411	471.754	443.919	440.736	435.226	446.535	450.442	444.888	452.573	pinger.usindh.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.PERNLHRPOP.EDU.N1	AR.INNOVA-RED.NET.N1	?B	0	0	0	0	433.052	403.232	397.439	396.842	410.873	380.861	391.42	385.399	371.188	386.249	372.766	403.323	419.833	418.201	386.689	383.982	400.102	411.762	392.347	384.75	pingerlhr.pern.edu.pk	PK	South_Asia	www.innova-red.net	NET	Latin_America
PK.PERNSINDHUPOP.EDU.N2	SN.COLLEGE.EDU.N1	?B	190.535	199.771	195.21	199.784	215.767	242.086	191.776	211.315	198.235	186.9	187.947	190.421	195.419	191.221	186.989	190.644	229.307	235.257	201.823	218.174	210.086	364.857	397.375	204.309	pingerjms.pern.edu.pk	PK	South_Asia	www.college.edu.sn	SN	Africa
PK.AUP.SEECS.EDU	LS.LESOTHO.GOV.N1	?B	358.776	365.653	372.806	353.764	349.708	332.404	347.968	348.127	351.185	324.54	329.943	323.909	307.869	336.475	360.221	385.294	380.141	391.297	367.928	365.618	376.439	373.901	377.941	385.076	aup.seecs.edu.pk	PK	South_Asia	www.lesotho.gov.ls	LS	Africa
PK.NCP.EDU.N3	UA.KHARKOV.N1	?B	298.774	296.9	311.014	302.657	459.998	253.438	224.221	224.758	222.156	204.372	205.804	203.663	207.686	209.642	239.952	387.281	409.109	418.119	417.511	423.637	433.04	408.093	414.255	408.853	pinger-ncp.ncp.edu.pk	PK	South_Asia	mail.kipt.kharkov.ua	UA	Europe
PK.PINGERKHI-CPSP.PERN.EDU	EE.UT.N1	?B	156.547	164.713	162.421	168.534	215.382	209.125	162.277	167.007	166.224	166.802	172.826	166.595	160.242	160.716	160.099	161.823	163.679	168.915	173.865	161.691	163.4	160.977	161.153	172.602	pingerkhi-cpsp.pern.edu.pk	PK	South_Asia	kadri.ut.ee	EE	East_Europe
PK.AUP.SEECS.EDU	PK.PINGERQTA.PERN.EDU.N2	?M	43.183	36.032	43.079	44.505	44.088	43.192	44.667	45.17	44.854	44.472	45.502	44.686	44.659	43.57	47.51	43.85	42.908	43.356	43.246	43.945	45.994	45.541	45.375	41.247	aup.seecs.edu.pk	PK	South_Asia	pingerqta.pern.edu.pk	PK	South_Asia
PK.PINGERISL-QAU.PERN.EDU	AU.AARNET.HOBART.N2	?B	0	513.149	451.235	299.047	322.811	485.553	504.221	506.001	464.917	515.018	0	481.733	0	484.186	473.686	482.009	477.663	478.146	0	472.737	484.087	487.227	477.882	477.349	pingerisl-qau.pern.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.UETTAXILA.EDU.N1	CM.CAMNET.N1	?B	0	0	273.296	321.061	0	281.568	285.237	298.238	327.185	333.885	297.133	299.785	282.618	286.832	321.794	288.819	348.812	371.79	378.441	371.235	318.118	312.902	335.44	296.568	pinger.uettaxila.edu.pk	PK	South_Asia	www.camnet.cm	CM	Africa
PK.NCP.EDU.N3	CA.CARLETON.N1	?B	384.309	381.782	401.687	400.546	392.16	323.699	250.086	261.712	257.468	261.781	255.94	253.691	250.994	263.735	267.437	315.482	354.764	373.944	370.779	372.271	366.921	363.092	363.483	367.329	pinger-ncp.ncp.edu.pk	PK	South_Asia	ftp.physics.carleton.ca	CA	North_America
EDU.SLAC.STANFORD.N3	UG.UTL.CO.N1	?r	566.997	363.85	357.327	343.534	345.303	323.852	296.842	308.808	301.916	302.061	313.814	306.979	310.347	325.962	334.474	363.527	352.214	342.082	328.569	346.885	354.051	366.093	377.86	354.786	pinger.slac.stanford.edu	EDU	North_America	www.utl.co.ug	UG	Africa
PK.PERNFSBDPOP.EDU.N1	PK.KINNAIRD.SEECS.EDU	?M	6.146	4.764	4.709	19.153	0	0	0	46.108	43.912	43.844	44.719	53.695	42.083	42.462	42.799	45.478	45.518	46.956	47.156	48.271	51.995	56.387	61.621	69.769	pingerfsbd.pern.edu.pk	PK	South_Asia	kinnaird.seecs.edu.pk	PK	South_Asia
PK.PINGERKHI-UOK.PERN.EDU	UY.FISICA.EDU.N1	?B	384.555	393.771	396.862	422.381	475.011	493.14	493.079	458.166	475.307	484.593	459.438	445.695	451.176	460.157	467.115	447.072	423.62	419.708	429.2	416.001	419.331	417.724	414.353	422.265	pingerkhi-uok.pern.edu.pk	PK	South_Asia	www.fisica.edu.uy	UY	Latin_America
PK.KINNAIRD.SEECS.EDU	NZ.WAIKATO.AC.N3	?B	0	0	0	326.247	401.075	450.673	457.028	399.311	344.737	341.545	349.34	339.281	322.394	431.575	398.313	296.229	316.675	419.375	384.92	378.721	0	0	0	496.106	kinnaird.seecs.edu.pk	PK	South_Asia	amp-kiwi.cs.waikato.ac.nz	NZ	Oceania
EDU.SLAC.STANFORD.N3	JP.RIKEN.N3	?M	134.053	142.251	143.111	123.034	118.955	118.096	118.487	119.117	117.928	117.703	157.283	185.362	186.26	186.359	185.834	186.736	186.499	186.444	185.681	186.398	188.355	186.509	186.545	186.753	pinger.slac.stanford.edu	EDU	North_America	ping.riken.jp	JP	East_Asia
